temp1,temp2,fuktighet,tidspunkt # test
20.8,20.7,26.0,2017-03-30 12:42
21.2,21.0,25.6,2017-03-30 12:42
21.2,21.1,26.0,2017-03-30 12:43
21.3,21.1,26.1,2017-03-30 12:43
21.6,21.3,26.3,2017-03-30 12:44
21.4,21.3,25.5,2017-03-30 12:44
21.5,21.3,26.6,2017-03-30 12:45
21.4,21.3,25.7,2017-03-30 12:45
21.4,21.3,26.1,2017-03-30 12:46
21.5,21.3,25.8,2017-03-30 12:46
21.4,21.3,25.5,2017-03-30 12:47
21.5,21.4,26.4,2017-03-30 12:47
21.5,21.3,26.3,2017-03-30 12:48
21.2,21.1,25.9,2017-03-30 12:48
21.3,21.2,25.8,2017-03-30 12:49
